Epoch,Global_Step,Loss,LR
901,21625,0.36923539638519287,5e-05
901,21626,0.46976345777511597,5e-05
901,21627,0.45823389291763306,5e-05
901,21628,0.38043081760406494,5e-05
901,21629,0.46105682849884033,5e-05
901,21630,0.43277525901794434,5e-05
901,21631,0.4883342683315277,5e-05
901,21632,0.45045995712280273,5e-05
901,21633,0.44112884998321533,5e-05
901,21634,0.5294389724731445,5e-05
901,21635,0.4455907940864563,5e-05
901,21636,0.5109079480171204,5e-05
901,21637,0.42745059728622437,5e-05
901,21638,0.4174320697784424,5e-05
901,21639,0.501566469669342,5e-05
901,21640,0.4243268072605133,5e-05
901,21641,0.3705277442932129,5e-05
901,21642,0.4653579592704773,5e-05
901,21643,0.4731321334838867,5e-05
901,21644,0.5022450089454651,5e-05
901,21645,0.4590598940849304,5e-05
901,21646,0.2769884169101715,5e-05
901,21647,0.4916667938232422,5e-05
901,21648,0.39252912998199463,5e-05
902,21649,0.35018396377563477,4.999890338731025e-05
902,21650,0.48114705085754395,4.999890338731025e-05
902,21651,0.45268264412879944,4.999890338731025e-05
902,21652,0.5061135292053223,4.999890338731025e-05
902,21653,0.4904957413673401,4.999890338731025e-05
902,21654,0.5064902305603027,4.999890338731025e-05
902,21655,0.46362119913101196,4.999890338731025e-05
902,21656,0.41479313373565674,4.999890338731025e-05
902,21657,0.39552873373031616,4.999890338731025e-05
902,21658,0.4672161042690277,4.999890338731025e-05
902,21659,0.5172297954559326,4.999890338731025e-05
902,21660,0.4970860481262207,4.999890338731025e-05
902,21661,0.42579638957977295,4.999890338731025e-05
902,21662,0.4359067380428314,4.999890338731025e-05
902,21663,0.4869733452796936,4.999890338731025e-05
902,21664,0.5576333403587341,4.999890338731025e-05
902,21665,0.48056700825691223,4.999890338731025e-05
902,21666,0.44230836629867554,4.999890338731025e-05
902,21667,0.41326791048049927,4.999890338731025e-05
902,21668,0.5085631608963013,4.999890338731025e-05
902,21669,0.430913507938385,4.999890338731025e-05
902,21670,0.40140020847320557,4.999890338731025e-05
902,21671,0.4235200881958008,4.999890338731025e-05
902,21672,0.521105945110321,4.999890338731025e-05
903,21673,0.3698962330818176,4.999561366949692e-05
903,21674,0.4565613269805908,4.999561366949692e-05
903,21675,0.4181510806083679,4.999561366949692e-05
903,21676,0.4216025471687317,4.999561366949692e-05
903,21677,0.45159703493118286,4.999561366949692e-05
903,21678,0.422159343957901,4.999561366949692e-05
903,21679,0.41971123218536377,4.999561366949692e-05
903,21680,0.50188148021698,4.999561366949692e-05
903,21681,0.5234924554824829,4.999561366949692e-05
903,21682,0.45422300696372986,4.999561366949692e-05
903,21683,0.2898879945278168,4.999561366949692e-05
903,21684,0.4914877712726593,4.999561366949692e-05
903,21685,0.4280271530151367,4.999561366949692e-05
903,21686,0.48365074396133423,4.999561366949692e-05
903,21687,0.4357049763202667,4.999561366949692e-05
903,21688,0.3994138240814209,4.999561366949692e-05
903,21689,0.4893171787261963,4.999561366949692e-05
903,21690,0.47722262144088745,4.999561366949692e-05
903,21691,0.419258713722229,4.999561366949692e-05
903,21692,0.579979658126831,4.999561366949692e-05
903,21693,0.431327223777771,4.999561366949692e-05
903,21694,0.4658089578151703,4.999561366949692e-05
